flight_number,launch_year,launch_date,launch_success,times_flown,payload_mass,periapsis,apoapsis,inclination,orbital_period,reused,landing_intent,land_success,site_name
49,2017,2017-10-11T22:53:00.000Z,True,2,5200,35775.717,35797.145,0.0299,1436.088,True,True,True,Kennedy Space Center Historic Launch Complex 39A
50,2017,2017-10-30T19:34:00.000Z,True,1,3700,35778.204,35794.673,0.0189,1436.088,False,True,True,Kennedy Space Center Historic Launch Complex 39A
51,2017,2017-12-15T15:36:00.000Z,True,2,2205,203.576,355.751,51.6387,90.106,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
52,2017,2017-12-23T01:27:23.000Z,True,2,9600,776.255,779.093,86.3975,100.403,True,True,True,Vandenberg Air Force Base Space Launch Complex 4E
53,2018,2018-01-08T01:00:00.000Z,True,1,None,None,None,51,None,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
54,2018,2018-01-31T21:25:00.000Z,True,2,4230,None,None,None,None,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40

56,2018,2018-02-22T14:17:00.000Z,True,2,1350,507.233,509.574,97.4461,94.789,True,False,None,Vandenberg Air Force Base Space Launch Complex 4E
57,2018,2018-03-06T05:33:00.000Z,True,1,6092,35777.918,35794.674,0.0472,1436.081,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
58,2018,2018-03-30T14:13:51.000Z,True,2,9600,776.453,778.882,86.4021,100.403,True,False,None,Vandenberg Air Force Base Space Launch Complex 4E
59,2018,2018-04-02T20:30:41.000Z,True,2,2760,203.778,356.6,51.6437,90.117,True,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
60,2018,2018-04-18T22:51:00.000Z,True,1,350,1705.852,272636.772,28.6882,9021.152,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
61,2018,2018-05-11T20:14:00.000Z,True,1,3750,35778.386,35794.956,0.0049,1436.1,False,True,True,Kennedy Space Center Historic Launch Complex 39A
62,2018,2018-05-22T19:47:58.000Z,True,2,4300,746.026,749.341,86.4535,99.772,True,False,None,Vandenberg Air Force Base Space Launch Complex 4E
63,2018,2018-06-04T04:45:00.000Z,True,2,5383.85,35776.18,35796.495,0.0459,1436.083,True,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
64,2018,2018-06-29T09:42:00.000Z,True,2,2410,227.094,386.773,51.6352,90.66,True,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
65,2018,2018-07-22T05:50:00.000Z,True,1,7076,35777.009,35795.806,0.0081,1436.087,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
66,2018,2018-07-25T11:39:26.000Z,True,1,9600,775.91,779.425,86.3977,100.403,False,True,True,Vandenberg Air Force Base Space Launch Complex 4E
67,2018,2018-08-07T05:18:00.000Z,True,2,5800,35781.856,35792.431,0.0129,1436.124,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
68,2018,2018-09-10T04:45:00.000Z,True,1,7060,35778.053,35794.649,0.0173,1436.084,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
69,2018,2018-10-08T02:22:00.000Z,True,2,2800,621.565,623.481,97.8869,97.155,True,True,True,Vandenberg Air Force Base Space Launch Complex 4E
70,2018,2018-11-15T20:46:00.000Z,True,2,3000,35780.031,35791.685,0.0365,1436.059,True,True,True,Kennedy Space Center Historic Launch Complex 39A
71,2018,2018-12-03T18:34:00.000Z,True,3,4000,572.902,591.994,97.7337,96.322,True,True,True,Vandenberg Air Force Base Space Launch Complex 4E
72,2018,2018-12-05T18:16:00.000Z,True,1,2573,404.129,407.407,51.6425,92.678,False,True,False,Cape Canaveral Air Force Station Space Launch Complex 40
73,2018,2018-12-23T13:51:00.000Z,True,1,4400,20169.696,20194.062,54.9968,717.963,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
74,2019,2019-01-11T15:31:00.000Z,True,2,9600,775.462,779.87,86.3933,100.403,True,True,True,Vandenberg Air Force Base Space Launch Complex 4E
75,2019,2019-02-22T01:45:00.000Z,True,3,5000,35778.569,35794.633,0.0126,1436.097,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
76,2019,2019-03-02T07:45:00.000Z,True,1,12259,394.367,411.911,51.6381,92.624,False,True,True,Kennedy Space Center Historic Launch Complex 39A

78,2019,2019-05-04T06:48:00.000Z,True,1,2482,396.056,416.692,51.6386,92.69,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
79,2019,2019-05-24T02:30:00.000Z,True,3,13620,548.477,551.552,53.0029,95.65,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
80,2019,2019-06-12T14:17:00.000Z,True,2,1425,588.88,590.862,97.7592,96.476,True,True,True,Vandenberg Air Force Base Space Launch Complex 4E

82,2019,2019-07-25T22:01:00.000Z,True,2,2227.7,396.799,414.329,51.6451,92.674,True,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
83,2019,2019-08-06T22:52:00.000Z,True,3,6500,None,None,None,None,True,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
